primary_access_id_project;access_id_project;access_name_project;regional_project;provinsi_project;area_project;pic_project;hpplan_project;status_po;number_po;tanggal_po;tahun_po;nilai_awal_po;hp_po;po_estimasi;eks_kompetitor;tgl_canvasing;surat_ijin_bak;bak_bak;status_bak;tanggal_bak;hp_bak;report_cbn;kmz_cbn;status_cbn;tgl_submite_cbn;tgl_approve_cbn;spk_nomor;spk_tanggal;spk_target_rfs;spk_hp;report_hld;apd_hld;boq_hld;status_hld;tgl_submit_hld;tgl_approve_hld;hp_hld;apd_lld;boq_lld;report_lld;autocad_lld;schematic_lld;maincore_lld;penambang_jalan_lld;bid_lld;status_lld;tgl_submite_lld;tgl_approve_lld;hp_lld;tgl_kom;tgl_pks;tiang_implementasi;kabel_implementasi;dpfo_implementasi;cortiang_implementasi;atp_implementasi;status_implementasi;tanggal_rfs;hp_rfs;tanggal_atp;hp_atp;tanggal_bast;main_status;remarks_status;submit_invoice_bast;nilai_invoice_bast;plan_invoice_bast;keterangan_bast;submit_invoice_retensi;nilai_invoice_retensi;plan_invoice_retensi;keterangan_retensi;total_invoice;total_sisa_invoice
377;;Kademangaran;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;99;Belum Terbit PO;;;;;;99,000,000;;;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"15/01/25 : Belum Kunjungan kembali target Wekk 4 Januari
10/01/25 : Masih proses Permit . target BAK 15 Januari 2025
02/01/25 : Lurah belum bisa ditemui";;;;;;;;;;
378;;PEKAUMAN KULON RW 01;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;200;Belum Terbit PO;;;;;;200,000,000;Biznet, Indihome, Myrep;03/01/2025;DONE;DONE;OK;45660;200;DONE;DONE;OK;13/01/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 :  Target HLD Tanggal 18 Januari 2025
13/01/25 : Submit Data SSR Report Profiling by Email
10/01/25 : Proses kirim SSR Report Profiling
03/01/25 : BAK Done
02/01/25 : belum bisa ketemu Pak Lurah di karenakan sedang tidak ada di kantor";;;;;;;;;;
379;;PEKAUMAN KULON RW 02;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;150;Belum Terbit PO;;;;;;150,000,000;Biznet, Indihome, Myrep;03/01/2025;DONE;DONE;OK;45660;102;DONE;DONE;OK;13/01/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 :  Target HLD Tanggal 18 Januari 2025
13/01/25 : Submit Data SSR Report Profiling by Email
10/01/25 : Proses kirim SSR Report Profiling
03/01/25 : BAK Done
02/01/25 : belum bisa ketemu Pak Lurah di karenakan sedang tidak ada di kantor";;;;;;;;;;
380;;PEKAUMAN KULON RW 03;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;150;Belum Terbit PO;;;;;;150,000,000;Biznet, Indihome, Myrep;03/01/2025;DONE;DONE;OK;45660;125;DONE;DONE;OK;13/01/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 :  Target HLD Tanggal 18 Januari 2025
13/01/25 : Submit Data SSR Report Profiling by Email
10/01/25 : Proses kirim SSR Report Profiling
03/01/25 : BAK Done
02/01/25 : belum bisa ketemu Pak Lurah di karenakan sedang tidak ada di kantor";;;;;;;;;;
381;;KALIGAYAM RW 01 TALANG;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;255;Belum Terbit PO;;;;;;255,000,000;;12/12/2024;DONE;;NOT OK;;255;DONE;DONE;OK;31/12/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;C. Waiting BAK;"15/01/25 : Target Kunjungan kembali Week 4 Januari
10/01/25 : Target BAK Tanggal 14 Januari 2025
07/01/25 : Follow Up by Email Data SSR Report Profiling Approach ke Pak Pualam Putranto
02/01/25 : Menunggu keputusan hasil dari pak Kades
12/12/24 : Canvasing Awal";;;;;;;;;;
382;;KALIGAYAM RW 02 TALANG;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;195;Belum Terbit PO;;;;;;195,000,000;;12/12/2024;DONE;;NOT OK;;195;DONE;DONE;OK;31/12/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;C. Waiting BAK;"15/01/25 : Target Kunjungan kembali Week 4 Januari
10/01/25 : Target BAK Tanggal 14 Januari 2025
07/01/25 : Follow Up by Email Data SSR Report Profiling Approach ke Pak Pualam Putranto
02/01/25 : Menunggu keputusan hasil dari pak Kades
12/12/24 : Canvasing Awal";;;;;;;;;;
383;;KALIGAYAM RW 03 TALANG;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;175;Belum Terbit PO;;;;;;175,000,000;;12/12/2024;DONE;;NOT OK;;175;DONE;DONE;OK;31/12/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;C. Waiting BAK;"15/01/25 : Target Kunjungan kembali Week 4 Januari
10/01/25 : Target BAK Tanggal 14 Januari 2025
07/01/25 : Follow Up by Email Data SSR Report Profiling Approach ke Pak Pualam Putranto
02/01/25 : Menunggu keputusan hasil dari pak Kades
12/12/24 : Canvasing Awal";;;;;;;;;;
384;;KALIGAYAM RW 04 TALANG;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;187;Belum Terbit PO;;;;;;187,000,000;;12/12/2024;DONE;;NOT OK;;187;DONE;DONE;OK;31/12/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;C. Waiting BAK;"15/01/25 : Target Kunjungan kembali Week 4 Januari
10/01/25 : Target BAK Tanggal 14 Januari 2025
07/01/25 : Follow Up by Email Data SSR Report Profiling Approach ke Pak Pualam Putranto
02/01/25 : Menunggu keputusan hasil dari pak Kades
12/12/24 : Canvasing Awal";;;;;;;;;;
385;;KALIGAYAM RW 05 TALANG;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;131;Belum Terbit PO;;;;;;131,000,000;;12/12/2024;DONE;;NOT OK;;131;DONE;DONE;OK;31/12/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;C. Waiting BAK;"15/01/25 : Target Kunjungan kembali Week 4 Januari
10/01/25 : Target BAK Tanggal 14 Januari 2025
07/01/25 : Follow Up by Email Data SSR Report Profiling Approach ke Pak Pualam Putranto
02/01/25 : Menunggu keputusan hasil dari pak Kades
12/12/24 : Canvasing Awal";;;;;;;;;;
386;;DESA LAWATAN RW 1;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;750;Belum Terbit PO;;;;;;750,000,000;;27/12/2024;DONE;DONE;OK;45653;750;DONE;DONE;OK;31/12/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 18 Januari 2025
07/01/25 : Follow Up by Email Data SSR Report Profiling Approach ke Pak Pualam Putranto
27/12/24 : BAK Done
12/12/24 : Canvasing Awal";;;;;;;;;;
387;;DESA LAWATAN RW 2;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;900;Belum Terbit PO;;;;;;900,000,000;;27/12/2024;DONE;DONE;OK;45653;900;DONE;DONE;OK;31/12/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 18 Januari 2025
07/01/25 : Follow Up by Email Data SSR Report Profiling Approach ke Pak Pualam Putranto
27/12/24 : BAK Done
12/12/24 : Canvasing Awal";;;;;;;;;;
388;;DESA LAWATAN RW 3;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;950;Belum Terbit PO;;;;;;950,000,000;;27/12/2024;DONE;DONE;OK;45653;950;DONE;DONE;OK;31/12/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 18 Januari 2025
07/01/25 : Follow Up by Email Data SSR Report Profiling Approach ke Pak Pualam Putranto
27/12/24 : BAK Done
12/12/24 : Canvasing Awal";;;;;;;;;;
389;;DESA LAWATAN RW 4;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;1200;Belum Terbit PO;;;;;;1,200,000,000;;27/12/2024;DONE;DONE;OK;45653;1200;DONE;DONE;OK;31/12/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 :  Target HLD Tanggal 18 Januari 2025
07/01/25 : Follow Up by Email Data SSR Report Profiling Approach ke Pak Pualam Putranto
27/12/24 : BAK Done
12/12/24 : Canvasing Awal";;;;;;;;;;
390;;SUTAPRANAN;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;306;Belum Terbit PO;;;;;;306,000,000;;14/12/2024;DONE;;NOT OK;;306;DONE;DONE;OK;31/12/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"15/01/25 : Target Minggu depan keliling ke RW/RT
10/01/25 : Target BAK Tanggal 20 Januari 2025
02/01/25 : Menunggu keputusan hasil dari pak Kades
14/12/24 : Canvasing Awal ";;;;;;;;;;
391;;DEBONG WETAN RW 1;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;970;Belum Terbit PO;;;;;;970,000,000;Indihome, My Republic;27/12/2024;DONE;DONE;OK;45653;970;DONE;DONE;OK;02/01/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 21 Januari 2025
10/01/25 : Target HLD Tanggal 21 Januari 2025
07/01/25 : Follow Up by Email Data SSR Report Profiling Approach ke Pak Pualam Putranto
02/01/25 : Menunggu keputusan hasil dari pak Kades
27/12/24 : Canvasing Awal Tanggal 27 Desember 2024";;;;;;;;;;
392;;DEBONG WETAN RW 2;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;1100;Belum Terbit PO;;;;;;1,100,000,000;Indihome, Bisnet, My Republic;27/12/2024;DONE;DONE;OK;45653;1100;DONE;DONE;OK;02/01/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 21 Januari 2025
10/01/25 : Target HLD Tanggal 21 Januari 2025
07/01/25 : Follow Up by Email Data SSR Report Profiling Approach ke Pak Pualam Putranto
02/01/25 : Menunggu keputusan hasil dari pak Kades
27/12/24 : Canvasing Awal Tanggal 27 Desember 2024";;;;;;;;;;
393;;KARANGANYAR RW 1;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;230;Belum Terbit PO;;;;;;230,000,000;Indihome, Bisnet, My Republic;08/01/2025;DONE;DONE;OK;45665;230;DONE;DONE;OK;10/01/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 22 Januari 2025
10/01/25 : Submit kembali Data SSR Report Profiling Approach ke Pak Pualam Putranto
08/01/25 : Pihak RW 01 dan RW 03 Mengijinkan ";;;;;;;;;;
394;;KARANGANYAR RW 2;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;350;Belum Terbit PO;;;;;;350,000,000;Indihome, Bisnet, My Republic;08/01/2025;DONE;DONE;OK;45665;350;DONE;DONE;OK;10/01/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 22 Januari 2025
10/01/25 : Submit kembali Data SSR Report Profiling Approach ke Pak Pualam Putranto
08/01/25 : Canvasing";;;;;;;;;;
395;;KARANGANYAR RW 3;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;220;Belum Terbit PO;;;;;;220,000,000;Indihome, Bisnet, My Republic;08/01/2025;DONE;DONE;OK;45665;220;DONE;DONE;OK;10/01/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 22 Januari 2025
10/01/25 : Submit kembali Data SSR Report Profiling Approach ke Pak Pualam Putranto
08/01/25 : Pihak RW 01 dan RW 03 Mengijinkan ";;;;;;;;;;
396;;KARANGANYAR RW 4;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;250;Belum Terbit PO;;;;;;250,000,000;Indihome, Bisnet, My Republic;08/01/2025;DONE;DONE;OK;45665;250;DONE;DONE;OK;10/01/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 22 Januari 2025
10/01/25 : Submit kembali Data SSR Report Profiling Approach ke Pak Pualam Putranto
08/01/25 : Canvasing";;;;;;;;;;
397;;BANDASARI RW 1;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;500;Belum Terbit PO;;;;;;500,000,000;Biznet,indihome;09/01/2025;DONE;DONE;OK;45666;500;DONE;DONE;OK;11/01/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 23 Januari 2025
11/1/25 : SSR Report Profiling Approach ";;;;;;;;;;
398;;BANDASARI RW 2;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;300;Belum Terbit PO;;;;;;300,000,000;Biznet,indihome;09/01/2025;DONE;DONE;OK;45666;300;DONE;DONE;OK;11/01/2024;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 23 Januari 2025
11/1/25 : SSR Report Profiling Approach ";;;;;;;;;;
399;;DESA KEPANDEAN RW 1;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;300;Belum Terbit PO;;;;;;300,000,000;Indihome,MyRep;09/01/2025;DONE;DONE;OK;45665;300;DONE;DONE;OK;13/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 24 Januari 2025
13/1/25 : Submit  Data SSR Report Profiling Approach Menunggu Approval CBN
9/1/25 : PIHAK RW MENGIJINKAN JARINGAN FIBERSTAR
8/1/25 : Pihak RW 01 Mengijinkan";;;;;;;;;;
400;;DESA KEPANDEAN RW 2;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;300;Belum Terbit PO;;;;;;300000000;Indihome,MyRep;09/01/2025;DONE;DONE;OK;08/01/2025;300;DONE;DONE;OK;13/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 24 Januari 2025
13/1/25 : Submit  Data SSR Report Profiling Approach Menunggu Approval CBN";;;;;;;;;;
401;;DESA KEPANDEAN RW 3;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;260;Belum Terbit PO;;;;;;260000000;Indihome,MyRep;09/01/2025;DONE;DONE;OK;45665;260;DONE;DONE;OK;13/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 24 Januari 2025
13/1/25 : Submit  Data SSR Report Profiling Approach Menunggu Approval CBN
9/1/25 : PIHAK RW 03 mengijinkan adanya jaringan FIBER Star";;;;;;;;;;
402;;DESA KEPANDEAN RW 4;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;200;Belum Terbit PO;;;;;;200000000;Indihome,MyRep;09/01/2025;DONE;DONE;OK;45665;200;DONE;DONE;OK;13/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 24 Januari 2025
13/1/25 : Submit  Data SSR Report Profiling Approach Menunggu Approval CBN
9/1/25 : Pihak RW 04 Mengijinkan";;;;;;;;;;
403;;DESA KEPANDEAN RW 5;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;700;Belum Terbit PO;;;;;;700000000;Indihome,MyRep;09/01/2025;DONE;DONE;OK;45665;300;DONE;DONE;OK;13/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 24 Januari 2025
13/1/25 : Submit  Data SSR Report Profiling Approach Menunggu Approval CBN
9/1/25 : PIHAK LURAH MENGIJINKAN JARINGAN FIBERSTAR
8/1/25 : Pihak RW 05 Mengijinkan ";;;;;;;;;;
404;;DESA KEPANDEAN RW 6;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;300;Belum Terbit PO;;;;;;300000000;Indihome,MyRep;09/01/2025;DONE;DONE;OK;45665;300;DONE;DONE;OK;13/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 24 Januari 2025
13/1/25 : Submit  Data SSR Report Profiling Approach Menunggu Approval CBN
9/1/25 : PIHAK LURAH MENGIJINKAN JARINGAN FIBERSTAR";;;;;;;;;;
405;;DESA KEPANDEAN RW 7;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;200;Belum Terbit PO;;;;;;200000000;Indihome,MyRep;09/01/2025;DONE;DONE;OK;45665;200;DONE;DONE;OK;13/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"15/01/25 : Target HLD Tanggal 24 Januari 2025
13/1/25 : Submit  Data SSR Report Profiling Approach Menunggu Approval CBN
9/1/25 : PIHAK LURAH MENGIJINKAN JARINGAN FIBERSTAR";;;;;;;;;;
406;;DESA PECANGAKAN RW 1;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;500;Belum Terbit PO;;;;;;500000000;Indihome, My Republic;13/01/2025;DONE;DONE;OK;45670;500;DONE;DONE;OK;17/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"17/01/25 : Submit SSR Tanggal 17 jan 2025
15/01/25 : Target HLD Tanggal 19 Januari 2025
15/01/25 : Data BAK, Kmz dan Profiling  sudah di kirim Tanggal 15/Jan 2025
13/1/25 : Pihak Lurah Mengijinkan Jaringan Fiberstar";;;;;;;;;;
407;;DESA PECANGAKAN RW 2;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;500;Belum Terbit PO;;;;;;500000000;Indihome, My Republic;13/01/2025;DONE;DONE;OK;45670;500;DONE;DONE;OK;17/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;G. On Going HLD;"17/01/25 : Submit SSR Tanggal 17 jan 2025
15/01/25 : Target HLD Tanggal 19 Januari 2025
15/01/25 : Data BAK, Kmz dan Profiling  sudah di kirim Tanggal 15/Jan 2025
13/1/25 : Pihak Lurah Mengijinkan Jaringan Fiberstar";;;;;;;;;;
408;;TEGALWANGI RW 04;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;175;Belum Terbit PO;;;;;;175000000;Biznet,indihome,MyRep;17/01/2025;DONE;DONE;OK;45666;175;DONE;DONE;OK;17/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;17/1/25 : Submit approval CBN;;;;;;;;;;
409;;TEGALWANGI RW 06;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;170;Belum Terbit PO;;;;;;170000000;Biznet,indihome,MyRep;17/01/2025;DONE;DONE;OK;45668;170;DONE;DONE;OK;17/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;17/1/25 : Submit approval CBN;;;;;;;;;;
410;;PEPEDAN RW 01;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;500;Belum Terbit PO;;;;;;500000000;Biznet,indihome,MyRep;17/01/2025;DONE;DONE;OK;45666;500;DONE;DONE;OK;17/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;17/1/25 : Submit approval CBN;;;;;;;;;;
411;;PEPEDAN RW 02;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;400;Belum Terbit PO;;;;;;400000000;Biznet,indihome,MyRep;17/01/2025;DONE;DONE;OK;45670;400;DONE;DONE;OK;17/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;17/1/25 : Submit approval CBN;;;;;;;;;;
412;;PEPEDAN RW 03;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;450;Belum Terbit PO;;;;;;450000000;Biznet,indihome,MyRep;17/01/2025;DONE;DONE;OK;45666;450;DONE;DONE;OK;17/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;17/1/25 : Submit approval CBN;;;;;;;;;;
413;;PEPEDAN RW 04;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;500;Belum Terbit PO;;;;;;500000000;Biznet,indihome,MyRep;17/01/2025;DONE;DONE;OK;45666;500;DONE;DONE;OK;17/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;17/1/25 : Submit approval CBN;;;;;;;;;;
414;;PEPEDAN RW 05;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;500;Belum Terbit PO;;;;;;500000000;Biznet,indihome,MyRep;17/01/2025;DONE;DONE;OK;45666;500;DONE;DONE;OK;17/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;17/1/25 : Submit approval CBN;;;;;;;;;;
415;;BEDUG RW 1;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;400;Belum Terbit PO;;;;;;400000000;Biznet,indihome,MyRep;14/01/2025;DONE;DONE;OK;45671;400;DONE;DONE;OK;21/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;"21/01/25 : Submit SSR Report Profiling Approach ke CBN. Menunggu Approval
15/01/25 : Rencana BAK dan Data lainya di SUbmit Sore ini
13/1/25 : Pihak Kepala Desa BEDUG MENGIJINKAN ADANYA JARINGAN FIBER STAR";;;;;;;;;;
416;;BEDUG RW 2;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;370;Belum Terbit PO;;;;;;370,000,000;Biznet,indihome,MyRep;14/01/2025;DONE;DONE;OK;45671;370;DONE;DONE;OK;21/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;"21/01/25 : Submit SSR Report Profiling Approach ke CBN. Menunggu Approval
15/01/25 : Rencana BAK dan Data lainya di SUbmit Sore ini
13/1/25 : Pihak Kepala Desa BEDUG MENGIJINKAN ADANYA JARINGAN FIBER STAR";;;;;;;;;;
417;;BEDUG RW 3;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;400;Belum Terbit PO;;;;;;400,000,000;Biznet,indihome,MyRep;14/01/2025;DONE;DONE;OK;45671;400;DONE;DONE;OK;21/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;"21/01/25 : Submit SSR Report Profiling Approach ke CBN. Menunggu Approval
15/01/25 : Rencana BAK dan Data lainya di SUbmit Sore ini
13/1/25 : Pihak Kepala Desa BEDUG MENGIJINKAN ADANYA JARINGAN FIBER STAR";;;;;;;;;;
418;;BEDUG RW 4;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;350;Belum Terbit PO;;;;;;350,000,000;Biznet,indihome,MyRep;14/01/2025;DONE;DONE;OK;45671;350;DONE;DONE;OK;21/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;"21/01/25 : Submit SSR Report Profiling Approach ke CBN. Menunggu Approval
15/01/25 : Rencana BAK dan Data lainya di SUbmit Sore ini
13/1/25 : Pihak Kepala Desa BEDUG MENGIJINKAN ADANYA JARINGAN FIBER STAR";;;;;;;;;;
419;;BEDUG RW 5;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;350;Belum Terbit PO;;;;;;350,000,000;Biznet,indihome,MyRep;14/01/2025;DONE;DONE;OK;45671;350;DONE;DONE;OK;21/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;"21/01/25 : Submit SSR Report Profiling Approach ke CBN. Menunggu Approval
15/01/25 : Rencana BAK dan Data lainya di SUbmit Sore ini
13/1/25 : Pihak Kepala Desa BEDUG MENGIJINKAN ADANYA JARINGAN FIBER STAR";;;;;;;;;;
420;;BEDUG RW 6;Regional 3;Jawa Tengah;Tegal;Irfan Nur Fauzi;300;Belum Terbit PO;;;;;;300,000,000;Biznet,indihome,MyRep;14/01/2025;DONE;DONE;OK;45671;300;DONE;DONE;OK;21/01/2025;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;E. Waiting SPK;"21/01/25 : Submit SSR Report Profiling Approach ke CBN. Menunggu Approval
15/01/25 : Rencana BAK dan Data lainya di SUbmit Sore ini
13/1/25 : Pihak Kepala Desa BEDUG MENGIJINKAN ADANYA JARINGAN FIBER STAR";;;;;;;;;;
421;;Desa Mranggen RW 02;Regional 3;Jawa Tengah;Demak;Sunarto;99;Tidak Terbit PO;;;;;;;;17/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"20/12/24 : RW mengizinkan jika RT dan warga nya mengizinkan. Belum bisa BAK harus sowan ke masing2 RT
18/12/24 : Pihak WP keberatan untuk penanaman tiang karena pengaman provider lain dana tidak sampai ke daerah warga yg ditanami tiang
17/12/24 : Kades mengizinkan diadakan instalasi jaringan FS di area tersebut, menunggu waktu untuk sosialisasi";;;;;;;;;0;0
422;;Desa Mranggen RW 06;Regional 3;Jawa Tengah;Demak;Sunarto;99;Tidak Terbit PO;;;;;;;;09/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"9/1/25 : RT 10 Rw 06 desa Mranggen menolak.
02/01/25 : Waiting BAK rejected, 
17/12/24 : Kades menolak pembangunan FS, BAK Reject ready";;;;;;;;;0;0
