cutoff_group,cluster_name,cluster_code,regional_name,province_name,city_name,team_name,rpm,sm,spv,status_current,status_bak,status_valsal,status_batch_approval,status_drm,status_atp,status_checklist_document,hp_plan,homepass_bak,homepass_valsal,hp_donasi,homepass_drm,olt_name,ba_open_date,bak_date,valsal_date,submission_date,released_at,drm_date,email_atp_date,actual_atp_date,rfs_date,rfs_cluster_id,po_type,INITIAL,po_number,po_date,po_value,status_po,po_version_label,remark_po,remark_general
IMPLEMENTASI,ARJOMULYO RW 02 KEBUMEN,KBM000721,REGIONAL 3,JATENG,KEBUMEN,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,118,,,,,,,4/8/2026,,,,,,,,,,,,,
IMPLEMENTASI,ARJOMULYO RW 01 KEBUMEN,KBM000722,REGIONAL 3,JATENG,KEBUMEN,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,160,,,,,,,4/8/2026,,,,,,,,,,,,,
IMPLEMENTASI,GROGOL RW 03 KARANGTENGAH,DMK001517 ,REGIONAL 3,JATENG,DEMAK,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,208,,,,,,,4/8/2026,,,,,,,,,,,,,
IMPLEMENTASI,OPEN AREA JALAN ABDURRAHMAN MOITO DUTULANAA GORONTALO,GTO000225,REGIONAL 5,GORONTALO,GORONTALO,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,394,,,,,,,3/11/2026,,,,,,,,,,,,,
IMPLEMENTASI,LINGKUNGAN SATU DAN DUA BONGOHULAWA GORONTALO,GTO000221,REGIONAL 5,GORONTALO,GORONTALO,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,197,,,,,,,3/10/2026,,,,,,,,,,,,,
IMPLEMENTASI, DUSUN BUKIT PAYA BUJOK SEULEUMAK LANGSA ,LGS000030,REGIONAL 1,NAD,LANGSA,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,1205,,,,,,,4/13/2026,,,,,,,,,,,,,
IMPLEMENTASI,"UJUNG BARU RW 07, 08 DAN 09 PARE PARE",PRE000031,REGIONAL 5,SULSEL,PAREPARE,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,313,,,,,,,4/7/2026,,,,,CLUSTER,INITIAL,7400121951,4/20/2026,77434500,,v1,PO AWAL,
IMPLEMENTASI,KELURAHAN COT MENTIWAN ACEH,BNA000373,REGIONAL 1,NAD,ACEH,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,101,,,,,,,4/17/2026,,,,,,,,,,,,,
IMPLEMENTASI,DESA BEREMBANG JAMBI,JMB001086,REGIONAL 1,JAMBI,JAMBI,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,363,,,,,,,4/15/2026,,,,,,,,,,,,,
IMPLEMENTASI,PERUMAHAN MITRA LESTARI BEREMBANG JAMBI,JMB001245,REGIONAL 1,JAMBI,JAMBI,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,222,,,,,,,4/15/2026,,,,,,,,,,,,,
IMPLEMENTASI,KELURAHAN SENGETI TAHAP 2 JAMBI,JMB001097,REGIONAL 1,JAMBI,JAMBI,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,845,,,,,,,4/15/2026,,,,,,,,,,,,,
